source_id,formal_name,lat,long,sit_prec,geo_src,lat_long_src_id,name_src,site_cat,hist_affl,state_affl,cultrl_affl_1,cultrl_affl_2,site_sgnf,mil_use,aaas,state_hiu,nga,dia,osm,coder1,coder1_date ,coder2,coder2_date ,apprv,apprv_date ,Notes1,Notes2,KHChanges,Hst 1,Hst 2,Religion,Language,Ethnicity,Governorate,FID_OLD,OBJECTID_OLD,PlyContain,PtContaine,PennContai,cat_code_old
AAASSYR01682,Ø®Ø±Ø§Ø¨ Ø§Ù„Ø¯Ø­Ø§Ø±Ø¬Ø©,34.6361111,36.2002778,,OSM_Points,564415783,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1681,1682,0,0,0,1
AAASSYR01683,Ø®Ø±ÙŠØ¨Ø© Ø§Ù„Ù‚ØµØ±,34.5377778,36.3766667,,OSM_Points,564417420,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1682,1683,0,0,0,5
AAASSYR01684,Ø¥Ø¨ÙŠØ´,34.5,36.416667,,OSM_Points,564419604,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1683,1684,0,0,0,1
AAASSYR01685,Ø§Ù„Ø®Ø¶Ø±,34.5994444,36.4022222,,OSM_Points,564419701,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1684,1685,0,0,0,1
AAASSYR01686,Ø§Ù„Ù‚Ù„Ø¹Ø©,34.6172221999,36.4086111001,,OSM_Points,564419708,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,5555,REMOVED - SITE IN LEBANON,,,,,,,1685,1686,0,0,0,5
AAASSYR01687,Ø®Ø±Ø¨Ø© Ø§Ù„Ø³Ù†Ø¯ÙŠØ§Ù†Ø©,34.6077778,36.4222222,,OSM_Points,564419760,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1686,1687,0,0,0,5
AAASSYR01688,Ø­Ø§Ø± Ø¨Ø¹Ø±Ø©,34.6205556,36.4097222,,OSM_Points,564419779,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1687,1688,0,0,0,5
AAASSYR01689,Ø¯Ø¹ÙŠØªØ±,34.6061111,36.4408333,,OSM_Points,564419787,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1688,1689,0,0,0,1
AAASSYR01690,Ø¶Ù‡Ø± Ø§Ù„ÙƒÙ†ÙŠØ³Ø©,34.6,36.433333,,OSM_Points,564419791,OSM_Points,Archaeological Site,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1689,1690,0,0,0,1
AAASSYR01691,Ø®Ø±Ø¨Ø© Ø­Ø¨Ù†Ø¬Ø±,34.6369444,36.2980556,,OSM_Points,564419837,OSM_Points,Historic Structure,,,,,,,1,,,,1,SRW001,31-Aug-2016,,,,, ,0, ,,,,,,,1690,1691,0,0,0,5
