state_hiu,Notes1,dia,coder1_date ,lat_long_src_id,apprv_date ,coder2_date ,mil_use,site_cat,site_sgnf,FID_OLD,hist_affl,coder1,Notes2,KHChanges,formal_name,nga,cat_code_old,cultrl_affl_1,geo_src,Governorate,name_src,sit_prec,source_id,Religion,PennContai,Ethnicity,PlyContain,PtContaine,Language,apprv,lat,aaas,long,cultrl_affl_2,osm,coder2,Hst 2,OBJECTID_OLD,Hst 1,state_affl,nearest_neighbor,nearest_neighbor_distance
,,,31-Aug-2016,760PCHC795,,,,Historic Structure,,2770,M004,SRW001,1, ,Aleppo Suq Karamash,,5,M010,Penn,,Penn,,AAASSYR02771,Islamic,0,Arab,0,0,Arabic,,36.1990390003,1,37.1590310005,,,,Modern –Ba’thist,2771,"Medieval – Islamic –
Mamluks ",,SHIUSYR0183,0.000000
, ,,31-Aug-2016,203569197,,,,Religious Site,,263,M004,SRW001,0, ,"Wahshi & Thoban Mosque (ثوبان), Aleppo",,9,M010,OSM_Polygon,Aleppo,OSM_Polygon,,AAASSYR00264,Islam,0,Arab,0,0,Arabic,,36.2165897,1,37.1675829,,1,,,264,"Medieval – Islamic –
Mamluks 
",,AAASSYR00263,0.145255
, ,,31-Aug-2016,203617359,,,,Religious Site,,276,M004,SRW001,0, ,"Ibrahim Khalil Mosque, Aleppo",,9,M010,OSM_Polygon,,OSM_Polygon,,AAASSYR00277,Islam,0,Arab,0,0,Arabic,,36.2075148,1,37.18679675,,1,,,277,"Medieval – Islamic –
Nizaris
",,AAASSYR00273,0.235017
, ,,31-Aug-2016,26773979,,,0,Cemetery,2,0,M004,SRW001,0, ,Damascus Dahdah Cemetery / eلبية (Alwa Aleppo),,3,M016,OSM_Polygon,Damascus,Penn,,AAASSYR00001,Sufi,1,Arab,1,0,Arabic,,33.51741535,1,36.30550025,M010,,,,1,Medieval – Islamic – Abbasid ,0,NGASYR0164,0.023201
, ,,31-Aug-2016,203435704,,,,Religious Site,,221,M004,SRW001,0, ,"Al-Asfar Mosque, Aleppo",,9,M010,OSM_Polygon,,OSM_Polygon,,AAASSYR00222,Islam,0,Arab,0,0,Arabic,,36.19632725,1,37.1554762,,1,,,222,Medieval – Islamic – Mamluks,,AAASSYR02744,0.073550
,,,31-Aug-2016,760PCHC1093,,,,Archaeological Site,,3068,M004,SRW001,1, ,Inat Ayyubid Cistern,,1,M010,Penn,,Penn,,AAASSYR03069,Islam,0,Arab,0,0,Arabic,,32.351814,1,36.807297,,,,,3069,Medieval – Islamic – Mamluks,,SHIUSYR0709,0.000000
, ,,31-Aug-2016,203389513,,,,Religious Site,,205,M004,SRW001,2, ,Aleppo al-Firdaws Madrasa and Mosque,,9,M014,OSM_Polygon,,Penn,,AAASSYR00206,Sunni,1,Arab,0,0,Arabic,,36.1864641,1,37.1554283998,,,,,206,Medieval – Islamic –Ayyubids,,SHIUSYR0074,0.011538
, ,,31-Aug-2016,203752743,,,,Religious Site,,340,M004,SRW001,0, ,"Al-Rumi Mosque, Aleppo",,9,M010,OSM_Polygon,Aleppo,Penn,,AAASSYR00341,Islam,1,Arab,0,0,Arabic,,36.1953316,1,37.1572068,,,,,341,Medieval – Islamic –Mamluks,,SHIUSYR0132,0.009755
, ,,31-Aug-2016,2430028380,,,,Religious Site,,1616,M004,SRW001,1, ,Aleppo Armenian Church of the 40 Martyrs,,9,RJ03,OSM_Points,,OSM_Points,,AAASSYR01617,Armenian Catholic Church,1,Armenian,0,0,Armenian,,36.2077602,1,37.1550363003,,1,,,1617,Medieval – Mamluks,,OSM2430028380,0.000000
, ,,31-Aug-2016,760PCHC748,,,,Religious Site,,2458,M004,SRW001,1, ,Aleppo Mosque al-Midani,,9,M010,Penn,,Penn,,AAASSYR02459,Islam,0,Arab,0,0,Arabic,,36.206650247,1,37.1633409232,,,,,2459,Medieval – Mamluks,,SHIUSYR0125,0.051921
